T,ZeroRate_A,DF_A,Fwd6m_A,ZeroRate_B,DF_B,Fwd6m_B
26.0,0.04054616299006166,0.34847100985327123,0.03801984567632877,0.0411764775447241,0.34280674503195874,0.03905341097603188
26.25,0.040519406569099754,0.34519892896135684,0.037867274313621024,0.04115351395659296,0.33950054001687724,0.038873312923645376
26.5,0.04049176338695739,0.3419701830603412,0.03771015431344926,0.04112931779410022,0.33624106478688826,0.038693142504926836
26.75,0.040463216788756695,0.33878450604946697,0.037548418859463695,0.041103922186833834,0.3330275970212685,0.03851303481206392
27.0,0.040433750119619805,0.3356416341514073,0.03738200118791957,0.04107736026438177,0.32985941609020314,0.03833312488951268
27.25,0.04040334672466887,0.3325413059279393,0.037210834589210595,0.04104966515633199,0.32673580333713315,0.03815354773408819
27.5,0.040371989949026015,0.32948326230005714,0.03703485240943305,0.04102086999227245,0.32365604234399425,0.03797443829513636
27.75,0.04033966313781337,0.3264672465724383,0.036853988051963604,0.04099100790179114,0.32061941918005227,0.03779593147480176
28.0,0.040306349636153066,0.3234930044621866,0.036668174979054946,0.04096011201447599,0.31762522263502785,0.03761816212838509
28.25,0.04027203278916725,0.32056028413177506,0.03647734671345715,0.04092821545991497,0.31467274443718446,0.03744126506477974
28.5,0.040236695941978054,0.3176688362261205,0.036281436840067016,0.04089535136769606,0.3117612794570439,0.03726537504700733
28.75,0.04020032243970761,0.31481841391371934,0.03608037900758454,0.040861552867407204,0.308890125897376,0.03709062679284436
29.0,0.04016289562747805,0.3120087729317848,0.03587410693020443,0.04082685308863637,0.30605858547009407,0.036917154975524724
29.25,0.04012439885041151,0.3092396716353275,0.035662554389315204,0.04079128516097154,0.30326596356067537,0.036745094224550634
29.5,0.040084815453630136,0.3065108710501237,0.03544565523523158,0.040754882214000636,0.3005115693807111,0.03657457912657325
29.75,0.04004412878225604,0.3038221349295265,0.0352238209164355,0.04071767737731166,0.2977947161091729,0.036405744226370995
30.0,0.04000232218141138,0.3011732298150706,0.034999404207959994,0.04067970378049256,0.2951147210229754,0.03623872159787256
